NAME,Distance,Mass,Radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Rasalgethi,0360,2.8,280,Kepler-628 b,1889,0.168 jupiters,13.056,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4681/kepler-628-b/,Gas Giant,2016,0.168 Jupiters,0.749 x Jupiter,Unknown,15.5 days,0.0,Kepler-623,b,kepler-623 b,Transit,0,1,9.07097734,0.00001283,-0.00001283,0,,,,,,,,,,,,,,,,,,0.269,0.030,-0.019,0,,,,,0,1,0,1,19h47m56.81s,296.986721,+47d28m38.6s,47.477390,811.00,95.06,-56.31,0,753.39,15.30,-15.30,0,14.959,,0,Kepler-band,14.963,,0,5443.00,103.28,-85.59,0,0.90,0.04,-0.05,0,0.86,0.10,-0.06,0,2016-05-10,Kepler
Tau Ceti,011.9,0.783,0.893,Kepler-720 b,2871,0.168 jupiters,15.164,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5095/kepler-720-b/,Gas Giant,2016,0.168 Jupiters,0.75 x Jupiter,Unknown,4.7 days,0.0,Kepler-719,b,kepler-719 b,Transit,0,1,5.00731778,0.00000125,-0.00000125,0,,,,,,,,,,,,,,,,,,0.760,0.163,-0.080,0,,,,,0,1,0,1,19h42m08.67s,295.536136,+43d53m04.0s,43.884453,1427.00,313.69,-169.25,0,2683.68,271.88,-271.88,0,15.813,,0,Kepler-band,15.904,,0,5777.00,199.43,-220.79,0,0.99,0.08,-0.07,0,0.98,0.21,-0.10,0,2016-05-10,Kepler
Delta Pavonis,019.92,0.991,1.22,K2-89 b,281,0.17 earths,14.162,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3364/k2-89-b/,Terrestrial,2016,0.17 Earths,0.615 x Earth,0.01462 AU,1.1 days,0.15,K2-87,b,k2-87 b,Transit,0,1,9.72661800,0.00005500,-0.00005500,0,0.094000,0.001000,-0.001000,0,,,,,87.740,0.170,-0.170,0,,,,,,0.678,0.036,-0.036,0,,,,,0,0,1,1,04h24m56.69s,66.236221,+18d49m38.7s,18.827417,503.60,29.90,-21.90,0,498.24,7.10,-7.10,0,14.134,0.040,0,V (Johnson),13.708,,0,5747.00,58.00,-49.00,0,1.16,0.04,-0.04,0,1.40,0.08,-0.06,0,2019-01-31,K2
Ran,010.48,0.82,0.74,BD-06 1339 c,66,0.17 jupiters,9.7,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7074/bd-06-1339-c/,Gas Giant,2013,0.17 Jupiters,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD+15 2375,b,bd+15 2375 b,Radial Velocity,0,1,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,,,,,1.06100,0.27000,-0.27000,0,Msini,,,,,,,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,165.00,-165.00,0,785.38,45.98,-45.98,0,10.310,0.023,0,V (Johnson),9.992,,0,4649.00,30.00,-30.00,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,2016-02-04,Roque de los Muchachos Observatory
V382 Carinae,"08,900",20,485,HD 102117 b,129,0.17 jupiters,7.47,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6717/hd-102117-b/,Gas Giant,2005,0.17 Jupiters,0.756 x Jupiter,0.15 AU,20.8 days,0.12,HD 102117,b,hd 102117 b,Radial Velocity,0,1,20.81330000,0.00640000,-0.00640000,0,0.150000,0.000000,0.000000,0,0.120000,0.080000,-0.080000,0,,,,,0.17000,0.01000,-0.01000,0,Msini,,,,,,,,,0,0,0,1,11h44m50.46s,176.210251,-58d42m13.4s,-58.703709,39.62,0.06,-0.06,0,39.62,0.06,-0.06,0,7.470,,0,V (Johnson),7.282,,0,5655.00,16.00,-16.00,0,1.06,0.07,-0.07,0,1.23,0.02,-0.02,0,2018-09-06,La Silla Observatory
Eta Carinae,"07,500",100,60–881,Kepler-1513 b,1253,0.17 jupiters,12.956,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2383/kepler-1513-b/,Gas Giant,2016,0.17 Jupiters,0.755 x Jupiter,Unknown,160.9 days,0.0,Kepler-1510,b,kepler-1510 b,Transit,0,1,84.70392100,0.00189600,-0.00189600,0,,,,,,,,,,,,,,,,,,0.300,0.110,-0.050,0,,,,,0,1,0,1,19h55m50.19s,298.959138,+48d15m28.2s,48.257824,1615.00,570.79,-277.47,0,1780.47,88.39,-88.39,0,15.169,,0,Kepler-band,15.142,,0,6200.00,177.72,-224.25,0,1.19,0.15,-0.12,0,1.28,0.46,-0.20,0,2016-05-10,Kepler
Delta Cephei,0887,4.5,44.5,KELT-11 b,324,0.171 jupiters,8.04,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3496/kelt-11-b/,Gas Giant,2017,0.171 Jupiters,1.35 x Jupiter,0.06229 AU,4.7 days,0.0,KELT-10,b,kelt-10 b,Transit,0,1,4.16627390,0.00000630,-0.00000630,0,0.052500,0.000860,-0.000970,0,,,,,88.610,0.860,-0.740,0,0.67900,0.03900,-0.03800,0,Mass,1.399,0.069,-0.049,0,0.30800,0.03300,-0.04000,0,0,0,0,0,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,183.00,14.00,-14.00,0,189.39,2.16,-2.16,0,10.854,0.043,0,V (Johnson),10.701,,0,5948.00,74.00,-74.00,0,1.11,0.06,-0.06,0,1.21,0.05,-0.04,0,2016-04-28,KELT-South
Mu Cephei,"06,000",19.2,972,55 Cancri c,41,0.1714 jupiters,5.96,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7003/55-cancri-c/,Gas Giant,2004,0.1714 Jupiters,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,c,55 cnc c,Radial Velocity,0,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.960,0.010,0,V (Johnson),5.714,,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,McDonald Observatory
Titawin,044.25,1.27,1.48,Kepler-719 b,4655,0.172 jupiters,15.904,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5094/kepler-719-b/,Gas Giant,2016,0.172 Jupiters,0.76 x Jupiter,Unknown,5 days,0.0,Kepler-718,b,kepler-718 b,Transit,0,1,2.05234990,0.00000015,-0.00000015,0,,,,,,,,,,,,,,,,,,1.477,0.622,-0.278,0,,,,,0,1,0,1,19h58m14.85s,299.561877,+43d30m12.8s,43.503559,1520.00,661.22,-306.43,0,1351.13,49.93,-49.93,0,15.257,,0,Kepler-band,15.246,,0,6191.00,307.31,-307.12,0,1.18,0.23,-0.14,0,1.30,0.55,-0.24,0,2016-05-10,Kepler
Rho Cassiopeiae,"08,154",22,636-981,HATS-46 b,1461,0.173 jupiters,13.634,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6301/hats-46-b/,Gas Giant,2018,0.173 Jupiters,0.903 x Jupiter,0.05367 AU,4.7 days,< 0.559,HATS-45,b,hats-45 b,Transit,0,1,4.18762440,0.00000560,-0.00000560,0,0.055110,0.000690,-0.000690,0,0.240000,,,1,85.610,0.420,-0.420,0,0.70000,0.15000,-0.15000,0,Mass,1.286,0.093,-0.093,0,0.41000,0.16000,-0.11000,0,0,0,0,0,06h47m58.63s,101.994293,-21d54m38.5s,-21.910694,818.00,41.00,-41.00,0,789.58,11.57,-11.57,0,13.307,0.050,0,V (Johnson),13.239,,0,6450.00,110.00,-110.00,0,1.27,0.05,-0.05,0,1.31,0.06,-0.06,0,2018-05-24,HATSouth
P Cygni,"05,545",30,76,WASP-18 c,404,0.17368 jupiters,9.303,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7538/wasp-18-c/,Gas Giant,2019,0.17368 Jupiters,0.765 x Jupiter,0.035 AU,2.2 days,< 0.015,WASP-184,b,wasp-184 b,Transit,0,1,5.18170000,0.00001000,-0.00001000,0,0.062700,0.001200,-0.001200,0,0.000000,,,0,86.900,1.100,-1.100,0,0.57000,0.10000,-0.10000,0,Mass,1.330,0.090,-0.090,0,0.32000,0.09000,-0.09000,0,0,0,0,0,13h58m04.09s,209.517042,-30d20m53.3s,-30.348139,640.00,28.00,-28.00,0,675.67,17.04,-17.04,0,,,,,12.567,,0,6000.00,100.00,-100.00,0,1.23,0.07,-0.07,0,1.65,0.09,-0.09,0,2019-10-10,WASP-South
La Superba,"01,000",,129 - 342,OGLE-2014-BLG-1722L b,20877,0.17399 jupiters,,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6318/ogle-2014-blg-1722l-b/,Gas Giant,2018,0.17399 Jupiters,0.766 x Jupiter,1.9 AU,4.1 years,0.0,OGLE-2014-BLG-1722L,b,ogle-2014-blg-1722l b,Microlensing,0,2,,,,,1.900000,1.300000,-0.800000,0,,,,,,,,,0.17399,0.16141,-0.10414,0,Mass,,,,,,,,,0,0,0,0,17h55m00.57s,268.752380,-31d28m08.6s,-31.469055,6400.00,1280.00,-1870.00,0,,,,,,,,,,,,,,,,0.40,0.36,-0.24,0,,,,,2018-06-21,OGLE
VV Cephei,"04,900",18.2,"516 - 1,050",HD 117618 b,123,0.174 jupiters,7.169,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6754/hd-117618-b/,Gas Giant,2004,0.174 Jupiters,0.766 x Jupiter,0.18 AU,25.8 days,0.15,HD 117618,b,hd 117618 b,Radial Velocity,0,1,25.80000000,0.00400000,-0.00400000,0,0.180000,0.005000,-0.005000,0,0.150000,0.070000,-0.070000,0,,,,,0.17400,0.01400,-0.01400,0,Msini,,,,,,,,,0,0,0,1,13h32m25.55s,203.106476,-47d16m16.9s,-47.271362,37.82,0.09,-0.09,0,37.82,0.09,-0.09,0,7.169,0.011,0,V (Johnson),7.022,,0,5990.00,,,0,1.08,,,0,,,,,2019-03-14,Anglo-Australian Telescope
61 Cygni,011.41,0.7,0.665,Kepler-123 b,3432,0.174 jupiters,14.021,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1452/kepler-123-b/,Gas Giant,2014,0.174 Jupiters,0.262 x Jupiter,0.135 AU,17.2 days,0.0,Kepler-1237,b,kepler-1237 b,Transit,0,1,84.57332260,0.00064800,-0.00064800,0,,,,,,,,,,,,,,,,,,0.255,0.035,-0.019,0,,,,,0,1,0,1,19h42m31.02s,295.629266,+44d41m26.2s,44.690620,1121.00,147.22,-74.75,0,1096.06,43.87,-43.87,0,15.758,,0,Kepler-band,15.755,,0,5472.00,73.56,-109.10,0,0.94,0.04,-0.04,0,0.90,0.12,-0.06,0,2016-05-10,Kepler
R Doradus,0178,0.7 - 1.0,298,Kepler-108 b,2378,0.176 jupiters,13.084,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1412/kepler-108-b/,Gas Giant,2014,0.176 Jupiters,0.772 x Jupiter,0.292 AU,49.2 days,0.22,Kepler-1086,c,kepler-1086 c,Transit,0,2,161.51633450,0.00086290,-0.00086290,0,,,,,,,,,,,,,,,,,,0.262,0.010,-0.012,0,,,,,0,1,0,1,19h41m00.28s,295.251155,+45d50m34.7s,45.842972,464.00,13.95,-14.69,0,472.29,7.31,-7.31,0,15.561,,0,Kepler-band,15.555,,0,4350.00,45.98,-34.14,0,0.70,0.02,-0.03,0,0.66,0.01,-0.02,0,2016-05-10,Kepler
Polaris Australis,0281,1.59,3.74,Kepler-148 d,2640,0.177 jupiters,15.336,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5922/kepler-148-d/,Gas Giant,2016,0.177 Jupiters,0.774 x Jupiter,Unknown,51.8 days,0.0,Kepler-1488,b,kepler-1488 b,Transit,0,1,39.81899320,0.00029070,-0.00029070,0,,,,,,,,,,,,,,,,,,0.166,0.037,-0.033,0,,,,,0,1,0,1,19h06m35.14s,286.646417,+49d56m16.0s,49.937778,618.00,137.41,-120.56,0,930.13,12.04,-12.04,0,13.102,,0,Kepler-band,13.077,,0,5820.00,71.05,-62.23,0,1.05,0.07,-0.05,0,1.31,0.29,-0.26,0,2016-05-10,Kepler
R Coronae Borealis,"04,566",0.85,85,Kepler-282 e,4537,0.177 jupiters,15.178,2013,https://exoplanets.nasa.gov/exoplanet-catalog/4583/kepler-282-e/,Gas Giant,2013,0.177 Jupiters,0.277 x Jupiter,Unknown,44.3 days,0.0,Kepler-282,c,kepler-282 c,Transit,0,4,13.63872300,0.00049100,-0.00049100,0,0.106000,,,0,,,,,,,,,,,,,,0.107,0.026,-0.026,0,,,,,0,1,0,1,18h58m42.55s,284.677277,+44d47m51.7s,44.797684,1390.97,46.40,-46.40,0,1390.97,46.40,-46.40,0,15.204,,0,Kepler-band,15.178,,0,5602.00,155.00,-155.00,0,,,,,0.90,0.21,-0.21,0,2014-05-14,Kepler
54 Piscium,036.1,0.76,0.94,HATS-62 b,1686,0.179 jupiters,14.015,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6452/hats-62-b/,Gas Giant,2018,0.179 Jupiters,1.055 x Jupiter,0.04163 AU,3.3 days,0.3,HATS-61,b,hats-61 b,Transit,0,1,7.81795300,0.00002400,-0.00002400,0,0.079080,0.000330,-0.000330,0,0.092000,,,0,87.150,0.180,-0.180,0,3.40000,0.14000,-0.14000,0,Mass,1.195,0.067,-0.067,0,2.47000,0.44000,-0.44000,0,0,0,0,0,04h06m37.8676s,61.657782,-25d20m58.9560s,-25.349710,694.00,8.80,-8.80,0,693.41,8.91,-8.91,0,13.233,0.024,0,V (Johnson),13.068,,0,5542.00,21.00,-21.00,0,1.08,0.01,-0.01,0,1.66,0.02,-0.02,0,2019-01-17,HATSouth
Mira,0300,1.2,370,V1298 Tauri e,354,0.179 jupiters,10.116,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7517/v1298-tauri-e/,Gas Giant,2019,0.179 Jupiters,0.78 x Jupiter,0.308 AU,60 days,< 0.57,V1298 Tau,e,v1298 tau e,Transit,0,4,60.00000000,60.00000000,-18.00000000,0,0.308000,0.182000,-0.066000,0,0.570000,,,1,89.400,0.260,-0.180,0,,,,,,0.780,0.075,-0.064,0,,,,,0,0,1,0,04h05m19.59s,61.331642,+20d09m25.6s,20.157103,108.50,0.70,-0.70,0,108.53,0.70,-0.70,0,10.116,0.050,0,V (Johnson),10.070,,0,,,,,1.10,0.05,-0.05,0,1.34,0.06,-0.05,0,2019-10-24,K2
RW Cephei,"014,000",13.9,"1,158",AU Microscopii b,32,0.18 jupiters,8.81,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7635/au-microscopii-b/,Gas Giant,2020,0.18 Jupiters,0.375 x Jupiter,0.066 AU,8.5 days,0.1,AU Mic,b,au mic b,Transit,0,1,8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,0.100000,0.170000,-0.090000,0,,,,0,0.18000,,,1,Msini,0.375,0.018,-0.018,0,4.40000,,,1,0,0,0,0,20h45m09.53s,311.289703,-31d20m27.2s,-31.340899,9.79,0.04,-0.04,0,9.72,0.00,0.00,0,8.810,,0,V (Johnson),7.840,,0,3700.00,100.00,-100.00,0,0.50,0.03,-0.03,0,0.75,0.03,-0.03,0,2020-06-24,Transiting Exoplanet Survey Satellite (TESS)
Lacaille 8760,012.87,0.6,0.51,OGLE-2008-BLG-092L b,26422,0.18 jupiters,,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6112/ogle-2008-blg-092l-b/,Gas Giant,2014,0.18 Jupiters,0.777 x Jupiter,18.0 AU,90.7 years,0.0,OGLE-2008-BLG-092L,b,ogle-2008-blg-092l b,Microlensing,0,1,,,,,18.000000,,,0,,,,,,,,,0.18000,,,0,Mass,,,,,,,,,0,0,0,0,17h47m29.42s,266.872583,-34d43m35.6s,-34.726556,8100.00,,,0,,,,,,,,,,,,,,,,0.71,,,0,,,,,2014-10-29,OGLE
V838 Monocerotis,"019,896",?,380 - 750,WASP-127 b,333,0.18 jupiters,10.15,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3432/wasp-127-b/,Gas Giant,2016,0.18 Jupiters,1.37 x Jupiter,0.052 AU,4.2 days,0.0,WASP-126,b,wasp-126 b,Transit,0,2,3.28883000,0.00003710,-0.00003710,0,,,,,,,,,89.510,0.435,-0.435,0,0.28411,,,0,Mass,,,,,,,,,1,0,0,0,04h13m29.73s,63.373865,-69d13m36.5s,-69.226807,234.00,15.00,-15.00,0,217.89,0.94,-0.94,0,10.800,0.500,0,V (Johnson),11.066,,0,5800.00,,,0,1.12,,,0,1.27,,,0,2019-12-05,SuperWASP-South
HD 140283,0190,?,1.4,Kepler-416 b,2299,0.183 jupiters,14.02,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5251/kepler-416-b/,Super Earth,2014,0.183 Jupiters,0.221 x Jupiter,Unknown,6.3 days,0.0,Kepler-415,b,kepler-415 b,Transit Timing Variations,0,2,4.17600000,,,0,,,,,,,,,,,,,0.37700,0.32100,-0.27500,0,Mass,0.108,0.012,-0.009,0,,,,,1,1,0,1,19h35m13.06s,293.804434,+38d38m20.9s,38.639131,538.39,11.09,-11.09,0,538.39,11.09,-11.09,0,15.842,,0,Kepler-band,15.841,,0,,,,,0.67,,,0,0.64,,,0,2014-05-28,Kepler
II Pegasi,0130,0.8,3.4,Kepler-890 b,4524,0.184 jupiters,15.136,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4345/kepler-890-b/,Gas Giant,2016,0.184 Jupiters,0.793 x Jupiter,Unknown,52.8 days,0.0,Kepler-889,b,kepler-889 b,Transit,0,1,3.74443900,0.00001366,-0.00001366,0,,,,,,,,,,,,,,,,,,0.097,0.017,-0.012,0,,,,,0,1,0,1,19h25m52.16s,291.467319,+50d45m34.2s,50.759489,513.00,90.07,-58.09,0,608.75,7.79,-7.79,0,12.710,,0,Kepler-band,12.680,,0,5961.00,75.23,-59.95,0,1.14,0.07,-0.05,0,1.25,0.22,-0.14,0,2016-05-10,Kepler
VY Canis Majoris,"03,900",17,"1,420",Kepler-491 b,2143,0.186 jupiters,13.962,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5614/kepler-491-b/,Gas Giant,2016,0.186 Jupiters,0.796 x Jupiter,Unknown,4.2 days,0.0,Kepler-49,b,kepler-49 b,Transit,0,4,7.20379450,0.00002200,-0.00002200,0,,,,,,,,,,,,,0.98000,,,1,Mass,0.243,,,0,,,,,1,1,0,1,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,314.02,2.54,-2.54,0,314.02,2.54,-2.54,0,15.264,,0,Kepler-band,15.229,,0,4252.00,100.00,-100.00,0,,,,,0.56,0.02,-0.02,0,2014-05-14,Kepler
Pistol Star,"025,000",100,320,K2-108 b,1582,0.18689 jupiters,12.33,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3451/k2-108-b/,Gas Giant,2017,0.18689 Jupiters,0.476 x Jupiter,0.0581 AU,4.7 days,0.18,K2-107,b,k2-107 b,Transit,0,1,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,,,,,,,,,,,,,,1.426,0.049,-0.049,0,,,,,0,0,1,1,18h59m56.49s,284.985382,-22d17m36.2s,-22.293402,696.95,19.71,-19.71,0,698.11,20.51,-20.51,0,12.920,0.010,0,V (Johnson),12.767,,0,6061.00,96.00,-96.00,0,1.30,0.05,-0.05,0,1.81,0.06,-0.06,0,2018-10-26,K2
S Doradus,"0169,000",24,380,HD 45364 b,112,0.1872 jupiters,8.062,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6639/hd-45364-b/,Gas Giant,2008,0.1872 Jupiters,0.8 x Jupiter,0.6813 AU,226.9 days,0.17,HD 45364,b,hd 45364 b,Radial Velocity,0,2,226.93000000,0.37000000,-0.37000000,0,0.681300,,,0,0.168400,0.019000,-0.019000,0,,,,,0.18720,,,0,Msini,,,,,,,,,0,0,0,0,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,0.04,-0.04,0,34.39,0.04,-0.04,0,8.062,0.012,0,V (Johnson),7.880,,0,5434.00,20.00,-20.00,0,0.82,0.05,-0.05,0,,,,,2014-05-14,La Silla Observatory
UY Scuti,"05,100",7–10,755,Kepler-950 b,4857,0.188 jupiters,15.681,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4402/kepler-950-b/,Gas Giant,2016,0.188 Jupiters,0.801 x Jupiter,Unknown,98.7 days,0.0,Kepler-953,b,kepler-953 b,Transit,0,2,88.40655258,0.00008306,-0.00008306,0,,,,,,,,,,,,,,,,,,0.376,0.033,-0.029,0,,,,,0,1,0,1,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,20.99,-17.50,0,1123.79,431.41,-431.41,0,12.160,,0,Kepler-band,12.143,,0,5416.00,40.78,-45.57,0,0.95,0.03,-0.03,0,0.99,0.09,-0.07,0,2016-05-10,Kepler
Barnard's Star,05.98,0.14,0.20,Kepler-817 b,4570,0.189 jupiters,15.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5516/kepler-817-b/,Gas Giant,2016,0.189 Jupiters,0.806 x Jupiter,Unknown,4 days,0.0,Kepler-813,b,kepler-813 b,Transit,0,1,19.12947337,0.00007455,-0.00007455,0,,,,,,,,,,,,,,,,,,0.191,0.037,-0.017,0,,,,,0,1,0,1,19h02m39.05s,285.662694,+48d26m07.3s,48.435371,840.00,105.50,-72.95,0,1060.16,324.49,-324.49,0,14.569,,0,Kepler-band,14.535,,0,5743.00,69.68,-59.41,0,0.95,0.05,-0.07,0,0.93,0.12,-0.08,0,2016-05-10,Kepler
Luhman 16,06.52,0.04,?,HD 221416 b,310,0.19 jupiters,8.146,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7351/hd-221416-b/,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,14.3 days,0.12,HD 221416,b,hd 221416 b,Transit,0,1,14.27670000,0.00370000,-0.00370000,0,0.122800,0.002500,-0.002600,0,0.115000,0.034000,-0.030000,0,85.750,0.360,-0.350,0,0.19000,0.01800,-0.01800,0,Mass,0.836,0.031,-0.028,0,0.43100,0.06400,-0.06000,0,0,0,0,0,23h32m08.07s,353.033630,-21d48m05.1s,-21.801424,95.08,0.72,-0.72,0,95.80,0.73,-0.73,0,8.146,0.014,0,V (Johnson),7.908,,0,5080.00,90.00,-90.00,0,1.21,0.07,-0.07,0,2.94,0.06,-0.06,0,2019-04-18,Transiting Exoplanet Survey Satellite (TESS)
Proxima Centauri,04.25,0.12,0.15,OGLE-2011-BLG-0173L b,19898,0.19 jupiters,,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6378/ogle-2011-blg-0173l-b/,Gas Giant,2018,0.19 Jupiters,0.807 x Jupiter,8.0 AU,35.4 years,0.0,OGLE-2011-BLG-0173L,b,ogle-2011-blg-0173l b,Microlensing,0,1,,,,,8.000000,,,0,,,,,,,,,0.19000,0.18000,-0.11000,0,Mass,,,,,,,,,0,0,0,0,17h57m15.78s,269.315735,-28d14m01.9s,-28.233862,6100.00,1300.00,-1700.00,0,,,,,,,,,,,,,,,,0.41,0.30,-0.21,0,,,,,2018-10-26,OGLE
